column 1,column 2
1467,6.51e-10
1468,6.51e-10
1469,6.52e-10
1470,6.52e-10
1471,6.52e-10
1472,6.52e-10
1473,6.52e-10
1474,6.52e-10
1475,6.52e-10
1476,6.52e-10
1477,6.52e-10
1478,6.52e-10
1479,6.52e-10
1480,6.52e-10
1481,6.52e-10
1482,6.52e-10
1483,6.53e-10
1484,6.53e-10
1485,6.53e-10
1486,6.53e-10
1487,6.53e-10
1488,6.53e-10
1489,6.53e-10
1490,6.53e-10
1491,6.53e-10
1492,6.53e-10
1493,6.53e-10
1494,6.53e-10
1495,6.53e-10
1496,6.53e-10
1497,6.53e-10
1498,6.53e-10
1499,6.54e-10
1500,6.54e-10
1501,6.54e-10
1502,6.54e-10
1503,6.54e-10
1504,6.54e-10
1505,6.54e-10
1506,6.54e-10
1507,6.54e-10
1508,6.54e-10
1509,6.54e-10
1510,6.54e-10
1511,6.54e-10
1512,6.54e-10
1513,6.54e-10
1514,6.55e-10
1515,6.55e-10
1516,6.55e-10
1517,6.55e-10
1518,6.55e-10
1519,6.55e-10
1520,6.55e-10
1521,6.55e-10
1522,6.55e-10
1523,6.55e-10
1524,6.55e-10
1525,6.55e-10
1526,6.55e-10
1527,6.55e-10
1528,6.55e-10
1529,6.55e-10
1530,6.56e-10
1531,6.56e-10
1532,6.56e-10
1533,6.56e-10
1534,6.56e-10
1535,6.56e-10
1536,6.56e-10
1537,6.56e-10
1538,6.56e-10
1539,6.56e-10
1540,6.56e-10
1541,6.56e-10
1542,6.56e-10
1543,6.56e-10
1544,6.56e-10
1545,6.56e-10
1546,6.57e-10
1547,6.57e-10
1548,6.57e-10
1549,6.57e-10
1550,6.57e-10
1551,6.57e-10
1552,6.57e-10
1553,6.57e-10
1554,6.57e-10
1555,6.57e-10
1556,6.57e-10
1557,6.57e-10
1558,6.57e-10
1559,6.57e-10
1560,6.57e-10
1561,6.57e-10
1562,6.58e-10
1563,6.58e-10
1564,6.58e-10
1565,6.58e-10
1566,6.58e-10
1567,6.58e-10
1568,6.58e-10
1569,6.58e-10
1570,6.58e-10
1571,6.58e-10
1572,6.58e-10
1573,6.58e-10
1574,6.58e-10
1575,6.58e-10
1576,6.58e-10
1577,6.58e-10
1578,6.58e-10
1579,6.59e-10
1580,6.59e-10
1581,6.59e-10
1582,6.59e-10
1583,6.59e-10
1584,6.59e-10
